Timestamp,Event,Value,Predicted_Crash
2026-08-15 14:09:03,Live Multiplier,24.46,
2026-08-15 14:09:04,Live Multiplier,24.67,
2026-08-15 14:09:04,Live Multiplier,24.67,
2026-08-15 14:09:04,Live Multiplier,24.67,
2026-08-15 14:09:04,Live Multiplier,24.89,
2026-08-15 14:09:04,Live Multiplier,24.89,
2026-08-15 14:09:04,Live Multiplier,24.89,
2026-08-15 14:09:04,Live Multiplier,25.1,
2026-08-15 14:09:04,Live Multiplier,25.1,
2026-08-15 14:09:04,Live Multiplier,25.1,
2026-08-15 14:09:04,Live Multiplier,25.32,
2026-08-15 14:09:04,Live Multiplier,25.32,
2026-08-15 14:09:04,Live Multiplier,25.32,
2026-08-15 14:09:04,Live Multiplier,25.54,
2026-08-15 14:09:04,Live Multiplier,25.54,
2026-08-15 14:09:04,Live Multiplier,25.54,
2026-08-15 14:09:04,Live Multiplier,25.76,
2026-08-15 14:09:04,Live Multiplier,25.76,
2026-08-15 14:09:04,Live Multiplier,25.76,
2026-08-15 14:09:04,Live Multiplier,25.99,
2026-08-15 14:09:04,Live Multiplier,25.99,
2026-08-15 14:09:04,Live Multiplier,25.99,
2026-08-15 14:09:04,Live Multiplier,26.22,
2026-08-15 14:09:04,Live Multiplier,26.22,
2026-08-15 14:09:04,Live Multiplier,26.22,
2026-08-15 14:09:04,Live Multiplier,26.44,
2026-08-15 14:09:04,Live Multiplier,26.44,
2026-08-15 14:09:04,Live Multiplier,26.44,
2026-08-15 14:09:04,Live Multiplier,26.67,
2026-08-15 14:09:04,Live Multiplier,26.67,
2026-08-15 14:09:05,Live Multiplier,26.67,
2026-08-15 14:09:05,Live Multiplier,26.91,
2026-08-15 14:09:05,Live Multiplier,26.91,
2026-08-15 14:09:05,Live Multiplier,26.91,
2026-08-15 14:09:05,Live Multiplier,27.14,
2026-08-15 14:09:05,Live Multiplier,27.14,
2026-08-15 14:09:05,Live Multiplier,27.14,
2026-08-15 14:09:05,Live Multiplier,27.38,
2026-08-15 14:09:05,Live Multiplier,27.38,
2026-08-15 14:09:05,Live Multiplier,27.38,
2026-08-15 14:09:05,Live Multiplier,27.62,
2026-08-15 14:09:05,Live Multiplier,27.62,
2026-08-15 14:09:05,Live Multiplier,27.62,
2026-08-15 14:09:05,Live Multiplier,27.85,
2026-08-15 14:09:05,Live Multiplier,27.85,
2026-08-15 14:09:05,Live Multiplier,27.85,
2026-08-15 14:09:05,Live Multiplier,28.1,
2026-08-15 14:09:05,Live Multiplier,28.1,
2026-08-15 14:09:05,Live Multiplier,28.1,
2026-08-15 14:09:05,Live Multiplier,28.34,
2026-08-15 14:09:05,Live Multiplier,28.34,
